"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "CSS", "YAML", "XML", "TypeScript JSX", "comment", "blank", "total"
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 697, 12, 55, 764
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 5, 29
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 6, 32
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 11, 118
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 8, 56
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 14, 130
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 29
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 10, 62
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 7, 46
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 8, 31
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\components\ui\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 285, 55, 56, 396
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\use-main-section.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 20, 14, 96
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 20
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\use-toast.ts", "TypeScript", 0, 0, 0, 0, 157, 0, 0, 0, 0, 3, 33, 193
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\useGenericList.ts", "TypeScript", 0, 0, 0, 0, 157, 0, 0, 0, 0, 27, 34, 218
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\users\UserSectionsManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 6, 18, 111
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\users\use-users.ts", "TypeScript", 0, 0, 0, 0, 155, 0, 0, 0, 0, 28, 27, 210
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\users\useUserManagement.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 376, 61, 79, 516
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-WebSite.ts", "TypeScript", 0, 0, 0, 0, 176, 0, 0, 0, 0, 33, 22, 231
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-conent-translitions.ts", "TypeScript", 0, 0, 0, 0, 192, 0, 0, 0, 0, 17, 16, 225
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-content-elements.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 14, 12, 129
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-language.ts", "TypeScript", 0, 0, 0, 0, 183, 0, 0, 0, 0, 33, 32, 248
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-section-items.ts", "TypeScript", 0, 0, 0, 0, 174, 0, 0, 0, 0, 17, 16, 207
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-section.ts", "TypeScript", 0, 0, 0, 0, 315, 0, 0, 0, 0, 59, 29, 403
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\use-subSections.ts", "TypeScript", 0, 0, 0, 0, 337, 0, 0, 0, 0, 21, 22, 380
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\hooks\webConfiguration\useUserSections.ts", "TypeScript", 0, 0, 0, 0, 162, 0, 0, 0, 0, 39, 13, 214
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\lib\api-client.ts", "TypeScript", 0, 0, 0, 0, 62, 0, 0, 0, 0, 12, 22, 96
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\lib\service-validator.ts", "TypeScript", 0, 0, 0, 0, 249, 0, 0, 0, 0, 17, 60, 326
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 2, 11
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\providers\QueryProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 27, 2, 4, 33
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\providers\WebsiteContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 6, 7, 59
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\providers\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 3, 20
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\utils\CreateMainSubSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 664, 41, 79, 784
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\utils\MainSectionComponents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 321, 14, 39, 374
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\utils\form.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 0, 0, 19, 18, 120
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\src\utils\user-helpers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 63, 8, 7, 78
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 6, 104
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\tailwind.config.ts", "TypeScript", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 3, 82
"d:\Web\Work\NextJs\idigitek\idigitek-dashboard\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 60, 27, 5123, 23, 3908, 155, 4, 7, 23119, 2188, 3547, 38161
